run_id,created_at,model_version,model_path,dataset_path,market,target,training_rows,positive_rate,in_sample_auc,in_sample_brier,feature_count,min_samples
20260513T215536Z,2026-05-13T21:55:36.520533+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_goes_to_decision,fight_goes_to_decision_target,17380,0.4670886075949367,0.6236107659804538,0.237429001953349,29,400
20260513T215536Z,2026-05-13T21:55:36.520559+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision_target,17380,0.5329113924050632,0.6236132663489922,0.2374290019563278,29,400
20260513T215536Z,2026-05-13T21:55:36.520569+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,inside_distance,inside_distance_target,17380,0.2611047180667434,0.6123040985159908,0.1873001176270916,29,400
20260513T215536Z,2026-05-13T21:55:36.520575+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,by_decision,by_decision_target,17380,0.2299769850402761,0.6191216770569409,0.1717443266191471,29,400
20260513T215536Z,2026-05-13T21:55:36.520580+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,submission,submission_target,17380,0.0967779056386651,0.6735404201085016,0.0852132971242123,29,400
20260513T215536Z,2026-05-13T21:55:36.520584+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,ko_tko,ko_tko_target,17380,0.1630034522439585,0.6342363959162909,0.1321374352613307,29,400
20260513T215536Z,2026-05-13T21:55:36.520588+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_ends_by_submission,fight_ends_by_submission_target,17380,0.1935558112773302,0.6242225421668595,0.1515759615315013,29,400
20260513T215536Z,2026-05-13T21:55:36.520592+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_ends_by_ko_tko,fight_ends_by_ko_tko_target,17380,0.3260069044879171,0.611629409021857,0.2119357441840648,29,400
20260513T215536Z,2026-05-13T21:55:36.520596+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,takedown,takedown_1plus_target,17380,0.4543728423475259,0.6724794050725669,0.2269492878606478,29,400
20260513T215536Z,2026-05-13T21:55:36.520602+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,knockdown,knockdown_1plus_target,17380,0.1833716915995397,0.6206413242906614,0.1456058982158866,29,400
20260513T215942Z,2026-05-13T21:59:42.683343+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_goes_to_decision,fight_goes_to_decision_target,17380,0.4670886075949367,0.6236107659804538,0.237429001953349,29,400
20260513T215942Z,2026-05-13T21:59:42.683365+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision_target,17380,0.5329113924050632,0.6236132663489922,0.2374290019563278,29,400
20260513T215942Z,2026-05-13T21:59:42.683374+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,inside_distance,inside_distance_target,17380,0.2611047180667434,0.6123040985159908,0.1873001176270916,29,400
20260513T215942Z,2026-05-13T21:59:42.683378+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,by_decision,by_decision_target,17380,0.2299769850402761,0.6191216770569409,0.1717443266191471,29,400
20260513T215942Z,2026-05-13T21:59:42.683382+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,submission,submission_target,17380,0.0967779056386651,0.6735404201085016,0.0852132971242123,29,400
20260513T215942Z,2026-05-13T21:59:42.683385+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,ko_tko,ko_tko_target,17380,0.1630034522439585,0.6342363959162909,0.1321374352613307,29,400
20260513T215942Z,2026-05-13T21:59:42.683388+00:00,2,models\prop_outcome_model.pkl,data\prop_outcome_history.csv,fight_ends_by_submission,fight_ends_by_submission_target,17380,0.1935558112773302,0.6242225421668595,0.1515759615315013,29,400
